sofifa_id,y_test,predictions,difference,age_x,short_name,overall,team_position,nationality,club
158023,95500000,72710000.0,23.86387434554974,32,L. Messi,94,RW,Argentina,FC Barcelona
20801,58500000,90040000.0,-53.91452991452992,34,Cristiano Ronaldo,93,LW,Portugal,Juventus
190871,105500000,111500000.0,-5.687203791469194,27,Neymar Jr,92,CAM,Brazil,Paris Saint-Germain
200389,77500000,36559500.0,52.82645161290323,26,J. Oblak,91,GK,Slovenia,Atlético Madrid
183277,90000000,90950000.0,-1.0555555555555556,28,E. Hazard,91,LW,Belgium,Real Madrid
192985,90000000,77800000.0,13.555555555555557,28,K. De Bruyne,91,RCM,Belgium,Manchester City
192448,67500000,31555200.0,53.251555555555555,27,M. ter Stegen,90,GK,Germany,FC Barcelona
203376,78000000,42270000.0,45.807692307692314,27,V. van Dijk,90,LCB,Netherlands,Liverpool
177003,45000000,55040000.0,-22.311111111111114,33,L. Modrić,90,RCM,Croatia,Real Madrid
209331,80500000,72110000.0,10.422360248447205,27,M. Salah,90,RW,Egypt,Liverpool
231747,93500000,79680000.0,14.780748663101603,20,K. Mbappé,89,RW,France,Paris Saint-Germain
201024,67500000,29320000.0,56.562962962962956,28,K. Koulibaly,89,LCB,Senegal,Napoli
202126,83000000,57400000.0,30.843373493975907,25,H. Kane,89,ST,England,Tottenham Hotspur
212831,58000000,1773500.0,96.94224137931035,26,Alisson,89,GK,Brazil,Liverpool
193080,56000000,25688000.0,54.128571428571426,28,De Gea,89,GK,Spain,Manchester United
215914,66000000,34570000.0,47.62121212121212,28,N. Kanté,89,RCM,France,Chelsea
138956,24500000,27840000.0,-13.63265306122449,34,G. Chiellini,89,LCB,Italy,Juventus
153079,60000000,77580000.0,-29.299999999999997,31,S. Agüero,89,ST,Argentina,Manchester City
155862,31500000,32030000.0,-1.6825396825396828,33,Sergio Ramos,89,LCB,Spain,Real Madrid
176580,53000000,55480000.0,-4.679245283018868,32,L. Suárez,89,ST,Uruguay,FC Barcelona
188545,64500000,69070000.0,-7.0852713178294575,30,R. Lewandowski,89,ST,Poland,FC Bayern München
189511,55000000,36780000.0,33.127272727272725,30,Sergio Busquets,89,CDM,Spain,FC Barcelona
194765,69000000,73950000.0,-7.173913043478261,28,A. Griezmann,89,LW,France,FC Barcelona
211110,76500000,59040000.0,22.823529411764707,25,P. Dybala,88,RW,Argentina,Juventus
195864,72500000,61870000.0,14.662068965517241,26,P. Pogba,88,LDM,France,Manchester United
210257,54500000,3832800.0,92.96733944954129,25,Ederson,88,GK,Brazil,Manchester City
202652,73000000,36860000.0,49.50684931506849,24,R. Sterling,88,LW,England,Manchester City
190460,68000000,61650000.0,9.338235294117647,27,C. Eriksen,88,RM,Denmark,Tottenham Hotspur
192119,48000000,34455000.0,28.218749999999996,27,T. Courtois,88,GK,Belgium,Real Madrid
152729,38000000,41130000.0,-8.236842105263158,32,Piqué,88,RCB,Spain,FC Barcelona
162835,26000000,19535500.0,24.86346153846154,34,S. Handanovič,88,GK,Slovenia,Inter
167495,32000000,57079500.0,-78.3734375,33,M. Neuer,88,GK,Germany,FC Bayern München
167948,36000000,30046000.0,16.538888888888888,32,H. Lloris,88,GK,France,Tottenham Hotspur
168542,36000000,46840000.0,-30.11111111111111,33,David Silva,88,LCM,Spain,Manchester City
179813,47000000,37330000.0,20.574468085106385,32,E. Cavani,88,ST,Uruguay,Paris Saint-Germain
182493,28000000,20460000.0,26.92857142857143,33,D. Godín,88,RCB,Uruguay,Inter
182521,57000000,68700000.0,-20.526315789473685,29,T. Kroos,88,LCM,Germany,Real Madrid
188350,56000000,56050000.0,-0.08928571428571429,30,M. Reus,88,CAM,Germany,Borussia Dortmund
188567,57000000,46760000.0,17.964912280701753,30,P. Aubameyang,88,LM,Gabon,Arsenal
208722,62000000,44540000.0,28.161290322580644,27,S. Mané,88,LW,Senegal,Liverpool
212218,56500000,42070000.0,25.539823008849556,25,A. Laporte,87,LCB,France,Manchester City
218667,64000000,57890000.0,9.546875,24,Bernardo Silva,87,RW,Portugal,Manchester City
200145,53500000,34730000.0,35.08411214953271,27,Casemiro,87,CDM,Brazil,Real Madrid
200104,60000000,61580000.0,-2.6333333333333333,26,H. Son,87,LM,Korea Republic,Tottenham Hotspur
135507,19500000,15330000.0,21.384615384615387,34,Fernandinho,87,CDM,Brazil,Manchester City
164240,18500000,22720000.0,-22.81081081081081,34,Thiago Silva,87,LCB,Brazil,Paris Saint-Germain
165153,45000000,34170000.0,24.066666666666666,31,K. Benzema,87,CF,France,Real Madrid
172871,32500000,38970000.0,-19.907692307692308,32,J. Vertonghen,87,LCB,Belgium,Tottenham Hotspur
175943,40000000,44410000.0,-11.025,32,D. Mertens,87,SUB,Belgium,Napoli
178603,41000000,46250000.0,-12.804878048780488,30,M. Hummels,87,LCB,Germany,Borussia Dortmund
184087,41000000,41460000.0,-1.121951219512195,30,T. Alderweireld,87,RCB,Belgium,Tottenham Hotspur
189332,40000000,29710000.0,25.724999999999998,30,Jordi Alba,87,LB,Spain,FC Barcelona
189509,50000000,63340000.0,-26.68,28,Thiago,87,CDM,Spain,FC Bayern München
193041,30500000,12627500.0,58.5983606557377,32,K. Navas,87,SUB,Costa Rica,Real Madrid
198219,52000000,61330000.0,-17.942307692307693,28,L. Insigne,87,LS,Italy,Napoli
222492,61000000,36490000.0,40.18032786885246,23,L. Sané,86,SUB,Germany,Manchester City
207865,51500000,34920000.0,32.19417475728155,25,Marquinhos,86,RCB,Brazil,Paris Saint-Germain
232363,52000000,28390000.0,45.40384615384615,24,M. Škriniar,86,LCB,Slovakia,Inter
199556,54500000,63640000.0,-16.77064220183486,26,M. Verratti,86,RCM,Italy,Paris Saint-Germain
205600,50000000,34470000.0,31.06,25,S. Umtiti,86,SUB,France,FC Barcelona
186153,37500000,11346000.0,69.744,29,W. Szczęsny,86,GK,Poland,Juventus
212622,48000000,39530000.0,17.645833333333332,24,J. Kimmich,86,RB,Germany,FC Bayern München
197781,51000000,53590000.0,-5.078431372549019,27,Isco,86,SUB,Spain,Real Madrid
201942,52000000,44330000.0,14.75,27,Roberto Firmino,86,CF,Brazil,Liverpool
168651,38000000,37590000.0,1.0789473684210527,31,I. Rakitić,86,RCM,Croatia,FC Barcelona
180206,42500000,37700000.0,11.294117647058824,29,M. Pjanić,86,CDM,Bosnia Herzegovina,Juventus
183898,39000000,41100000.0,-5.384615384615385,31,A. Di María,86,LW,Argentina,Paris Saint-Germain
184344,28500000,39970000.0,-40.24561403508772,32,L. Bonucci,86,RCB,Italy,Juventus
189242,46500000,56600000.0,-21.72043010752688,27,Coutinho,86,LCM,Brazil,FC Bayern München
189513,41000000,39970000.0,2.5121951219512195,30,Parejo,86,RCM,Spain,Valencia CF
189596,43500000,39910000.0,8.25287356321839,29,T. Müller,86,SUB,Germany,FC Bayern München
192387,44500000,51600000.0,-15.955056179775282,29,C. Immobile,86,ST,Italy,Lazio
193301,46000000,51330000.0,-11.58695652173913,28,A. Lacazette,86,ST,France,Arsenal
235243,50000000,25680000.0,48.64,19,M. de Ligt,85,SUB,Netherlands,Juventus
230621,41500000,2137300.0,94.84987951807229,20,G. Donnarumma,85,GK,Italy,Milan
228702,52000000,41450000.0,20.28846153846154,22,F. de Jong,85,LCM,Netherlands,FC Barcelona
201535,45000000,39500000.0,12.222222222222221,26,R. Varane,85,RCB,France,Real Madrid
212190,46500000,28330000.0,39.075268817204304,23,N. Süle,85,RCB,Germany,FC Bayern München
223848,50500000,32200000.0,36.23762376237624,24,S. Milinković-Savić,85,RDM,Serbia,Lazio
231866,47000000,29020000.0,38.25531914893617,23,Rodri,85,SUB,Spain,Manchester City
208421,49500000,28240000.0,42.94949494949495,24,Saúl,85,LCM,Spain,Atlético Madrid
209499,45000000,35490000.0,21.133333333333333,25,Fabinho,85,CDM,Brazil,Liverpool
216267,43500000,24650000.0,43.333333333333336,25,A. Robertson,85,LB,Scotland,Liverpool
216460,45000000,32830000.0,27.044444444444444,24,J. Giménez,85,RCB,Uruguay,Atlético Madrid
220440,45000000,36070000.0,19.844444444444445,24,C. Lenglet,85,LCB,France,FC Barcelona
212198,49000000,49400000.0,-0.8163265306122449,24,Bruno Fernandes,85,RCM,Portugal,Sporting CP
199482,33500000,18200700.0,45.66955223880597,28,A. Lopes,85,GK,Portugal,Olympique Lyonnais
185122,31000000,9360500.0,69.80483870967743,29,P. Gulácsi,85,GK,Hungary,RB Leipzig
189117,32000000,4744000.0,85.175,28,R. Bürki,85,GK,Switzerland,Borussia Dortmund
192505,46000000,21960000.0,52.26086956521739,26,R. Lukaku,85,LS,Belgium,Inter
192774,37500000,30670000.0,18.213333333333335,28,K. Manolas,85,RCB,Greece,Napoli
194404,31000000,1383800.0,95.53612903225806,29,Neto,85,SUB,Brazil,FC Barcelona
197445,38000000,36430000.0,4.131578947368421,27,D. Alaba,85,LB,Austria,FC Bayern München
201399,46000000,34200000.0,25.65217391304348,26,M. Icardi,85,RES,Argentina,Inter
204963,38000000,32618000.0,14.163157894736841,27,Carvajal,85,RB,Spain,Real Madrid
208670,45000000,35490000.0,21.133333333333333,26,H. Ziyech,85,RAM,Morocco,Ajax
41236,14000000,17474000.0,-24.814285714285713,37,Z. Ibrahimović,85,ST,Sweden,LA Galaxy
143076,34000000,24080000.0,29.176470588235293,31,A. Gómez,85,CAM,Argentina,Atalanta
167664,34500000,39930000.0,-15.739130434782608,31,G. Higuaín,85,SUB,Argentina,Juventus
170890,25000000,27740000.0,-10.96,32,B. Matuidi,85,SUB,France,Juventus
173731,37500000,53620000.0,-42.986666666666665,29,G. Bale,85,SUB,Wales,Real Madrid
176676,28000000,51560000.0,-84.14285714285714,31,Marcelo,85,LB,Brazil,Real Madrid
177413,31500000,36100000.0,-14.603174603174605,30,A. Witsel,85,LDM,Belgium,Borussia Dortmund
191043,33000000,35780000.0,-8.424242424242424,28,Alex Sandro,85,LB,Brazil,Juventus
192629,34500000,38900000.0,-12.753623188405797,31,Iago Aspas,85,RS,Spain,RC Celta
193747,40500000,39410000.0,2.691358024691358,27,Koke,85,RM,Spain,Atlético Madrid
198710,40500000,72350000.0,-78.64197530864197,27,J. Rodríguez,85,SUB,Colombia,Real Madrid
199914,38000000,32020000.0,15.736842105263158,28,Allan,85,RCM,Brazil,Napoli
233049,44500000,38010000.0,14.584269662921349,19,J. Sancho,84,RM,England,Borussia Dortmund
235790,46000000,25390000.0,44.80434782608695,20,K. Havertz,84,RF,Germany,Bayer 04 Leverkusen
231443,42500000,37290000.0,12.258823529411766,22,O. Dembélé,84,SUB,France,FC Barcelona
206585,31000000,12114000.0,60.9225806451613,24,Kepa,84,GK,Spain,Chelsea
210514,36500000,26400000.0,27.671232876712327,25,João Cancelo,84,SUB,Portugal,Manchester City
211117,41500000,36360000.0,12.385542168674698,23,D. Alli,84,CAM,England,Tottenham Hotspur
220814,37500000,30390000.0,18.96,23,L. Hernández,84,LCB,France,FC Bayern München
230658,41000000,32870000.0,19.82926829268293,22,Arthur,84,SUB,Brazil,FC Barcelona
202556,40500000,23650000.0,41.604938271604944,25,M. Depay,84,LW,Netherlands,Olympique Lyonnais
