sofifa_id,y_test,predictions,difference,age_x,short_name
158023,95500000,72710000.0,23.86387434554974,32,L. Messi
20801,58500000,90040000.0,-53.91452991452992,34,Cristiano Ronaldo
190871,105500000,111500000.0,-5.687203791469194,27,Neymar Jr
200389,77500000,36559500.0,52.82645161290323,26,J. Oblak
183277,90000000,90950000.0,-1.0555555555555556,28,E. Hazard
192985,90000000,77800000.0,13.555555555555557,28,K. De Bruyne
192448,67500000,31555200.0,53.251555555555555,27,M. ter Stegen
203376,78000000,42270000.0,45.807692307692314,27,V. van Dijk
177003,45000000,55040000.0,-22.311111111111114,33,L. Modrić
209331,80500000,72110000.0,10.422360248447205,27,M. Salah
231747,93500000,79680000.0,14.780748663101603,20,K. Mbappé
201024,67500000,29320000.0,56.562962962962956,28,K. Koulibaly
202126,83000000,57400000.0,30.843373493975907,25,H. Kane
212831,58000000,1773500.0,96.94224137931035,26,Alisson
193080,56000000,25688000.0,54.128571428571426,28,De Gea
215914,66000000,34570000.0,47.62121212121212,28,N. Kanté
138956,24500000,27840000.0,-13.63265306122449,34,G. Chiellini
153079,60000000,77580000.0,-29.299999999999997,31,S. Agüero
155862,31500000,32030000.0,-1.6825396825396828,33,Sergio Ramos
176580,53000000,55480000.0,-4.679245283018868,32,L. Suárez
188545,64500000,69070000.0,-7.0852713178294575,30,R. Lewandowski
189511,55000000,36780000.0,33.127272727272725,30,Sergio Busquets
194765,69000000,73950000.0,-7.173913043478261,28,A. Griezmann
211110,76500000,59040000.0,22.823529411764707,25,P. Dybala
195864,72500000,61870000.0,14.662068965517241,26,P. Pogba
210257,54500000,3832800.0,92.96733944954129,25,Ederson
202652,73000000,36860000.0,49.50684931506849,24,R. Sterling
190460,68000000,61650000.0,9.338235294117647,27,C. Eriksen
192119,48000000,34455000.0,28.218749999999996,27,T. Courtois
152729,38000000,41130000.0,-8.236842105263158,32,Piqué
162835,26000000,19535500.0,24.86346153846154,34,S. Handanovič
